Attraction,Description
Basilica of the Sagrada Familia,"The Basilica of the Sagrada Familia is a monumental church devoted to the Holy Family: Jesus, Mary and Joseph. Construction began in 1882, based on plans drawn up by the architect Francisco de Paula"
Gothic Quarter (Barri Gotic),"The Central historical part of Barcelona, located between the streets of Rambla and Laetana."
Casa Batllo,"Stunning outside, unimaginable inside!"
Palace of Catalan Music,"The Palau, an icon of modernist architecture in downtown Barcelona The Palau de la Música Catalana is one of the most representative monuments of the city and It is one of the most recommended tourist attractions of Barcelona. Built between 1905..."
Casa Milà - La Pedrera,"Casa Mila, popularly known as La Pedrera, is a most unusual building, constructed between 1906 and 1912 by the architect Antoni Gaudí (1852–1926) and declared UNESCO World Heritage in 1984. Today it is the headquarters of Fundacio Catalunya La..."
Camp Nou,"This gigantic stadium is the largest soccer stadium in Europe, with a seating capacity of 100,000"
Mercat de la Boqueria,
Basílica de Santa Maria del Mar,"The Gothic Church, built in the 14th century, is located in the quarter of La Ribera."
Recinte Modernista de Sant Pau,
Museu Nacional d'Art de Catalunya - MNAC,
Barcelona Cathedral,A beautiful gothic cathedral with stained glass windows dating back 500 years.
The Magic Fountain,
Parc de Montjuic,
CosmoCaixa,
Casa Vicens,
Passeig de Gracia,"Major thoroughfare in Barcelona that is lined with shops, restaurants, bars and some of Gaudí's architectural masterpieces."
Palau Güell,This palace was the home of industrialist Eusebi Guell and was Antonio Gaudi's first major building in the city..
Parc de la Ciutadella,"The 44 acres (18 hectares) are home to Castell dels Tres Dragons, the Umbracle (plant house) and Hivernacle (glass house)."
Erotic Museum of Barcelona (Museu de l'Erotica),
Joan Miro Foundation,"The Fundació Joan Miró was created by Miró himself, at first principally with works from his own private collection, with a desire to set up an internationally recognised centre in Barcelona for Miró scholarship and contemporary art research, and..."
El Born,
Plaça d'Espanya,
Templo del Sagrado Corazon de Jesus,
L'Eixample District,Barcelona's 19th-century historic district where visitors find works by famous architects such as Gaudí and Ildefons Cerdà.
Parc Guell,"Park Guell is one of the masterpieces of the Catalan architect Antoni Gaudi, who projected it in 1900. Inaugurated as a public park in 1926, it was listed as a UNESCO World Heritage Site in 1984, reconizing its patrimonial and cultural value as a..."
Museu Picasso,
Museu d'Historia de Barcelona - MUHBA,"Ancient and medieval Barcelona in the monumental ensemble beneath Plaça del Rei, organised in the 20th century. A tour through 4,000 square metres in an underground archaeological site that takes us from Barcino to Barcinona. Exhibition on the..."
Plaça Reial,"Known for its many outdoor venues, restaurants and nightclubs, Plaça Reial is a popular meeting place during the summer when open air concerts take place, and during other celebrations such as New Year’s Eve."
Ciutat Vella,"This fascinating area is steeped in history, with city hall located in the same spot where kings once reigned. You'll find narrow streets and squares here, with Gothic mansions, museums, historic churches, bars and restaurants. The Placa del Rei..."
Palau Dalmases,
