"location__name","location__url","location__locationId","totalReviews","avgReviews","minTicketPriceInfo","minTicketPriceInfo__price","minTicketPriceInfo__priceCurrency","ranking__value"
"Basilica of the Sagrada Familia","https://www.tripadvisor.com/Attraction_Review-g187497-d190166-Reviews-Basilica_of_the_Sagrada_Familia-Barcelona_Catalonia.html","190166","163525","4.5","","36.18000030517578","EUR","1"
"Gothic Quarter (Barri Gotic)","https://www.tripadvisor.com/Attraction_Review-g187497-d190162-Reviews-Gothic_Quarter_Barri_Gotic-Barcelona_Catalonia.html","190162","39869","4.5","null","","","3"
"Casa Batllo","https://www.tripadvisor.com/Attraction_Review-g187497-d191052-Reviews-Casa_Batllo-Barcelona_Catalonia.html","191052","57077","4.5","","25.899999618530273","EUR","5"
"Palace of Catalan Music","https://www.tripadvisor.com/Attraction_Review-g187497-d190824-Reviews-Palace_of_Catalan_Music-Barcelona_Catalonia.html","190824","18456","4.5","","12.420000076293945","EUR","2"
"Casa Milà - La Pedrera","https://www.tripadvisor.com/Attraction_Review-g187497-d190629-Reviews-Casa_Mila_La_Pedrera-Barcelona_Catalonia.html","190629","23241","4.5","","44.54999923706055","EUR","7"
"Camp Nou","https://www.tripadvisor.com/Attraction_Review-g187497-d271009-Reviews-Camp_Nou-Barcelona_Catalonia.html","271009","39719","4.5","","61.13999938964844","EUR","10"
"Mercat de la Boqueria","https://www.tripadvisor.com/Attraction_Review-g187497-d190164-Reviews-Mercat_de_la_Boqueria-Barcelona_Catalonia.html","190164","26045","4.5","null","","","9"
"Basílica de Santa Maria del Mar","https://www.tripadvisor.com/Attraction_Review-g187497-d246171-Reviews-Basilica_de_Santa_Maria_del_Mar-Barcelona_Catalonia.html","246171","13741","4.5","","5.170000076293945","EUR","4"
"Recinte Modernista de Sant Pau","https://www.tripadvisor.com/Attraction_Review-g187497-d1192272-Reviews-Recinte_Modernista_de_Sant_Pau-Barcelona_Catalonia.html","1192272","4586","4.5","","15.539999961853027","EUR","13"
"Museu Nacional d'Art de Catalunya - MNAC","https://www.tripadvisor.com/Attraction_Review-g187497-d257527-Reviews-Museu_Nacional_d_Art_de_Catalunya_MNAC-Barcelona_Catalonia.html","257527","7193","4.5","","12.420000076293945","EUR","17"
"Barcelona Cathedral","https://www.tripadvisor.com/Attraction_Review-g187497-d191048-Reviews-Barcelona_Cathedral-Barcelona_Catalonia.html","191048","9650","4.5","","10.979999542236328","EUR","29"
"The Magic Fountain","https://www.tripadvisor.com/Attraction_Review-g187497-d501696-Reviews-The_Magic_Fountain-Barcelona_Catalonia.html","501696","29402","4.5","null","","","8"
"Parc de Montjuic","https://www.tripadvisor.com/Attraction_Review-g187497-d2359212-Reviews-Parc_de_Montjuic-Barcelona_Catalonia.html","2359212","11167","4.5","","12.420000076293945","EUR","11"
"CosmoCaixa","https://www.tripadvisor.com/Attraction_Review-g187497-d244211-Reviews-CosmoCaixa-Barcelona_Catalonia.html","244211","4111","4.5","null","","","16"
"Casa Vicens","https://www.tripadvisor.com/Attraction_Review-g187497-d531598-Reviews-Casa_Vicens-Barcelona_Catalonia.html","531598","1547","4.5","","12.420000076293945","EUR","15"
"Passeig de Gracia","https://www.tripadvisor.com/Attraction_Review-g187497-d254723-Reviews-Passeig_de_Gracia-Barcelona_Catalonia.html","254723","13786","4.5","null","","","6"
"Palau Güell","https://www.tripadvisor.com/Attraction_Review-g187497-d295879-Reviews-Palau_Guell-Barcelona_Catalonia.html","295879","9707","4.5","null","","","18"
"Parc de la Ciutadella","https://www.tripadvisor.com/Attraction_Review-g187497-d246511-Reviews-Parc_de_la_Ciutadella-Barcelona_Catalonia.html","246511","7538","4.5","null","","","35"
"Erotic Museum of Barcelona (Museu de l'Erotica)","https://www.tripadvisor.com/Attraction_Review-g187497-d319140-Reviews-Erotic_Museum_of_Barcelona_Museu_de_l_Erotica-Barcelona_Catalonia.html","319140","2238","4.0","","8.279999732971191","EUR","39"
"Joan Miro Foundation","https://www.tripadvisor.com/Attraction_Review-g187497-d190637-Reviews-Joan_Miro_Foundation-Barcelona_Catalonia.html","190637","3968","4.5","null","","","37"
"El Born","https://www.tripadvisor.com/Attraction_Review-g187497-d254718-Reviews-El_Born-Barcelona_Catalonia.html","254718","3943","4.5","null","","","19"
"Plaça d'Espanya","https://www.tripadvisor.com/Attraction_Review-g187497-d591343-Reviews-Placa_d_Espanya-Barcelona_Catalonia.html","591343","5524","4.5","null","","","38"
"Templo del Sagrado Corazon de Jesus","https://www.tripadvisor.com/Attraction_Review-g187497-d3224257-Reviews-Templo_del_Sagrado_Corazon_de_Jesus-Barcelona_Catalonia.html","3224257","1697","4.5","","29.530000686645508","EUR","14"
"L'Eixample District","https://www.tripadvisor.com/Attraction_Review-g187497-d251997-Reviews-L_Eixample_District-Barcelona_Catalonia.html","251997","736","4.5","null","","","22"
"Parc Guell","https://www.tripadvisor.com/Attraction_Review-g187497-d190624-Reviews-Parc_Guell-Barcelona_Catalonia.html","190624","75731","4.0","","9.319999694824219","EUR","12"
"Museu Picasso","https://www.tripadvisor.com/Attraction_Review-g187497-d190165-Reviews-Museu_Picasso-Barcelona_Catalonia.html","190165","9754","4.0","","17.610000610351562","EUR","64"
"Museu d'Historia de Barcelona - MUHBA","https://www.tripadvisor.com/Attraction_Review-g187497-d244210-Reviews-Museu_d_Historia_de_Barcelona_MUHBA-Barcelona_Catalonia.html","244210","2127","4.5","null","","","23"
"Plaça Reial","https://www.tripadvisor.com/Attraction_Review-g187497-d313695-Reviews-Placa_Reial-Barcelona_Catalonia.html","313695","4073","4.5","null","","","47"
"Ciutat Vella","https://www.tripadvisor.com/Attraction_Review-g187497-d208597-Reviews-Ciutat_Vella-Barcelona_Catalonia.html","208597","3130","4.5","null","","","25"
